epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1311.8,1.24581,2.38233,1.45857,0.4439,0.3815,0.37913,0.20376,1.61242,2.54398,1.55514,0.000415882,0.000415882,0.000415882
2,2425.25,1.31429,1.90098,1.51968,0.37159,0.31715,0.31551,0.16163,1.75186,2.49924,1.73004,0.000816064,0.000816064,0.000816064
3,3535.79,1.33093,1.78897,1.53462,0.67565,0.31042,0.35247,0.19357,1.68599,2.25067,1.71437,0.00119975,0.00119975,0.00119975
4,4649.74,1.31034,1.71778,1.52153,0.49138,0.36151,0.38431,0.21496,1.56924,2.23368,1.59004,0.00117575,0.00117575,0.00117575
5,5760.15,1.25682,1.62382,1.47164,0.56759,0.38639,0.43648,0.24468,1.57073,2.07887,1.61684,0.001151,0.001151,0.001151
6,6863.99,1.21397,1.51471,1.44831,0.62236,0.43676,0.50435,0.29055,1.4898,1.86599,1.53431,0.00112625,0.00112625,0.00112625
7,7939.63,1.19495,1.46269,1.42772,0.56525,0.48233,0.52388,0.3126,1.44738,1.75076,1.49613,0.0011015,0.0011015,0.0011015
8,9011.52,1.1554,1.38001,1.39626,0.6486,0.49102,0.56293,0.34001,1.41076,1.66404,1.46124,0.00107675,0.00107675,0.00107675
9,10106.8,1.15319,1.35267,1.39125,0.60935,0.5283,0.58221,0.35995,1.38041,1.58547,1.45039,0.001052,0.001052,0.001052
10,11190,1.12407,1.31575,1.37501,0.64441,0.55794,0.60806,0.37837,1.39515,1.50908,1.44508,0.00102725,0.00102725,0.00102725
11,12263.7,1.11721,1.28013,1.35942,0.73075,0.5176,0.62677,0.39518,1.30959,1.45752,1.40006,0.0010025,0.0010025,0.0010025
12,13335.9,1.09386,1.24407,1.35122,0.72403,0.5672,0.64002,0.38925,1.33856,1.39858,1.42015,0.00097775,0.00097775,0.00097775
